match_id,game_duration,blue_top_champion,blue_jungle_champion,blue_mid_champion,blue_adc_champion,blue_support_champion,blue_num_tanks,blue_num_fighters,blue_num_mages,blue_num_marksmans,blue_num_controllers,red_top_champion,red_jungle_champion,red_mid_champion,red_adc_champion,red_support_champion,red_num_tanks,red_num_fighters,red_num_mages,red_num_marksmans,red_num_controllers,gold_diff_5,xp_diff_5,cs_diff_5,kills_diff_5,dragon_diff_5,herald_diff_5,tower_diff_5,wards_placed_diff_5,wards_killed_diff_5,gold_diff_10,xp_diff_10,cs_diff_10,kills_diff_10,dragon_diff_10,herald_diff_10,tower_diff_10,wards_placed_diff_10,wards_killed_diff_10,gold_diff_15,xp_diff_15,cs_diff_15,kills_diff_15,dragon_diff_15,herald_diff_15,tower_diff_15,wards_placed_diff_15,wards_killed_diff_15,gold_lead_gt_1500_10,kill_lead_gt_3_10,tower_lead_gt_1_10,double_objective_10,wards_lead_gt_5_10,first_blood_blue,first_tower_blue,first_dragon_blue,first_herald_blue,first_tower_time,first_dragon_time,first_herald_time,first_blood_time,blue_wins,processed_at
LA1_1705713787,47.43333333333333,Darius,Briar,Vex,Kaisa,Lulu,0,2,1,1,1,Heimerdinger,MonkeyKing,Malphite,Draven,Nami,1,1,1,1,1,239,-155,-14,1,0,0,0,0,-1,-129,-395,-25,1,-1,0,0,0,0,-136,-1594,-32,1,-2,0,0,-1,-2,0,0,0,0,0,1,0,0,0,860.766,493.201,940.357,122.938,0,
LA1_1705730109,27.95,Yorick,Shyvana,Malphite,Kaisa,Lux,1,2,1,1,0,Sett,Warwick,Swain,Vayne,Seraphine,0,2,1,1,1,-1327,-356,-20,-2,0,0,0,-92,0,-2039,-788,-15,-5,-1,0,0,-26,0,-4480,-1829,-3,-12,-2,0,0,-33,-2,0,0,0,0,0,0,1,0,1,896.046,372.298,1035.04,182.701,0,
LA1_1705934961,20.483333333333334,AurelionSol,Chogath,Leblanc,Caitlyn,Alistar,2,0,2,1,0,Jax,RekSai,Kassadin,Smolder,Karma,0,2,1,1,1,1139,283,7,2,0,0,0,1,0,-1087,-763,15,-4,-1,0,0,1,3,-1843,-1487,6,-7,-1,0,0,3,2,0,0,0,0,0,1,0,0,1,951.268,445.253,962.338,184.486,0,
LA1_1705948075,27.516666666666666,Kayn,RekSai,Sylas,Jhin,Nami,0,2,1,1,1,Yone,FiddleSticks,Malzahar,Ashe,Thresh,0,1,2,1,1,59,396,-7,0,0,0,0,0,0,-1037,-712,-33,-2,-1,0,0,6,-2,-2780,-411,-46,-5,-2,0,-1,13,-1,0,0,0,0,1,0,0,0,0,695.851,404.615,955.578,95.699,1,
LA1_1706174946,25.216666666666665,Malphite,JarvanIV,Lux,Jinx,Pyke,2,0,1,1,1,Kled,Vi,Fizz,Yunara,Pantheon,0,4,1,0,0,-1317,-884,-19,-2,0,0,0,-2,0,-2879,-1312,-24,-3,0,0,0,-2,1,-5048,-2552,-40,-7,0,0,-1,-15,0,0,0,0,0,0,1,0,0,1,749.021,898.188,1114.766,99.098,0,
LA1_1706183464,40.03333333333333,Malphite,Shyvana,Vex,Senna,Karma,1,1,1,1,1,Tryndamere,Volibear,Ekko,Lucian,Milio,0,3,0,1,1,352,102,-8,1,0,0,0,-4,0,140,636,-1,1,-1,0,0,-6,-1,1826,1235,13,4,0,0,0,-10,-1,0,0,0,0,0,1,1,0,1,970.225,399.925,943.022,144.474,0,
LA1_1706191172,38.13333333333333,Kled,Vi,Malphite,Draven,Seraphine,1,2,0,1,1,Yasuo,Kayn,Ekko,Yunara,Lux,0,3,2,0,0,-714,-819,-29,-1,0,0,0,-1,-1,1761,468,-20,3,-1,0,0,-2,-2,3462,983,-50,5,-1,0,0,-5,0,1,0,0,0,0,0,1,0,1,882.097,527.621,965.959,60.258,1,
LA1_1707040143,35.65,Illaoi,Warwick,Anivia,Vayne,Mel,0,2,2,1,0,Garen,Nocturne,Diana,Jhin,Zyra,0,3,0,1,1,922,735,4,2,0,0,0,54,-5,3345,3542,29,8,0,0,0,162,-14,4201,4836,69,11,0,0,0,198,-15,1,1,0,0,1,1,0,0,0,790.232,879.601,1018.562,110.58,1,
LA1_1707330000,52.95,Gangplank,Khazix,Chogath,Ashe,Mel,1,2,1,1,0,Gwen,Briar,Annie,Vayne,Morgana,0,2,1,1,1,435,-339,-11,1,0,0,0,-2,0,2601,1478,13,5,0,0,0,-9,2,5307,3921,57,7,1,0,0,-13,9,1,1,0,0,0,1,1,1,1,918.069,689.596,997.463,140.302,1,
LA1_1707348895,34.0,Garen,Rammus,Shaco,Veigar,Jinx,1,2,1,1,0,Vayne,Shyvana,Yasuo,Ashe,Morgana,0,2,0,2,1,260,461,-4,1,0,0,0,0,0,1868,1574,-23,5,-1,0,0,2,-2,2923,901,-35,7,0,0,1,7,-4,1,1,0,0,0,1,1,0,1,759.707,332.04,936.789,82.567,0,
